Zip,Median,Pop
1001,56663,16445
1002,49853,28069
1003,28462,8491
1005,75423,4798
1007,79076,12962
1008,63980,1244
1009,51452,889
1010,75625,3340
1011,63476,1323
1012,58750,677
1013,36578,22907
1020,50058,29626
1022,50440,2124
1026,60320,1052
1027,58573,17452
1028,80252,14143
1029,62955,663
1030,71106,11702
1031,61250,1192
1032,67692,498
1034,63980,1910
1035,69911,4801
1036,78869,5089
1037,61250,627
1038,53939,2557
1039,66284,1291
1040,35549,39827
1050,62097,2380
1053,60477,1720
1054,67831,1656
1056,63318,21205
1057,73254,8474
1060,48069,15578
1062,60686,11283
1063,40694,393
1066,53939,71
1068,77396,1651
1069,50345,8789
1070,60320,573
1071,63980,1518
1072,67831,1503
1073,80738,5366
1074,75423,315
1075,63053,17179
1077,73645,8842
1079,51452,625
1080,50100,2208
1081,65917,1581
1082,51936,10125
1083,55030,2887
1084,58750,158
1085,57598,40392
1086,93611,323
1088,53939,622
1089,53711,27894
1092,55030,1215
1093,59722,340
1094,61250,340
1095,89486,13572
1096,66148,2143
1097,63980,113
1098,60320,1212
1103,16963,2731
1104,35380,22078
1105,17756,12816
1106,91889,15880
1107,23557,11615
1108,37411,26060
1109,34638,30683
1118,55853,14283
1119,45184,13170
1128,63177,3040
1129,58704,6982
1151,34175,8302
1199,48306,14
1201,46765,43838
1220,38379,8947
1222,47145,821
1223,48478,2287
1224,66458,197
1225,57419,3264
1226,57505,7099
1229,55096,129
1230,53584,8654
1235,63877,2597
1236,55718,1656
1237,69659,2426
1238,51053,6110
1240,60458,4787
1242,60604,254
1243,60320,360
1244,57917,136
1245,63152,989
1247,38405,16957
1253,62955,607
1254,79145,1070
1255,62955,824
1256,54167,701
1257,47145,2223
1258,55764,401
1259,57917,640
1260,53297,225
1262,55096,1357
1264,63250,160
1266,64328,1681
1267,69925,8683
1270,70662,761
1301,47833,18444
1330,70326,1512
1331,49110,12856
1337,57550,2649
1338,56596,184
1339,6531,181
1341,70326,1743
1342,61912,1140
1343,54167,73
1344,54836,1216
1347,50189,214
1349,51401,1116
1351,50189,2301
1354,57550,1367
1355,67831,820
1360,70606,2952
1364,44676,7633
1366,68374,1186
1368,61950,1256
1370,53003,4020
1373,61438,4618
1375,59722,3769
1376,36099,5149
1378,54836,742
1379,54836,949
1420,48606,39333
1430,79875,5551
1431,80143,2833
1432,55863,7008
1434,119016,1017
1436,66138,3097
1438,66138,413
1440,51232,20904
1450,123278,9547
1451,141274,4922
1452,82443,3901
1453,57280,41066
1460,103751,8147
1462,84911,9475
1463,85403,11120
1464,72598,6374
1467,141274,328
1468,66138,3134
1469,78502,6892
1473,79073,6906
1474,78207,2302
1475,56274,9597
1501,70683,15923
1503,92917,2517
1504,74067,8824
1505,88214,4083
1506,60189,3056
1507,86561,11274
1510,57957,13261
1515,71964,2095
1516,86214,7089
1518,72983,2303
1519,105605,6128
1520,92166,12543
1521,65917,2408
1522,82165,3083
1523,80938,7102
1524,74316,6356
1525,89583,88
1527,68319,12850
1529,77250,2715
1531,61250,942
1532,103271,14028
1534,76675,4527
1535,57196,4703
1536,89347,5977
1537,68664,2219
1540,62079,10958
1541,102853,3341
1542,67172,2025
1543,81295,6332
1545,88643,31637
1550,48195,17217
1560,68854,2754
1561,80938,236
1562,65184,11681
1564,102115,7267
1566,72387,5531
1568,107950,5650
1569,80536,11080
1570,50142,16396
1571,64228,10023
1581,101876,17899
1583,79865,6665
1585,60376,4472
1588,67286,8644
1590,104730,8247
1602,61861,21596
1603,37454,14613
1604,47438,33032
1605,41023,24799
1606,57646,19516
1607,47987,8415
1608,26526,3634
1609,44501,20425
1610,21388,15545
1611,63333,2206
1612,100358,4363
1701,92018,31114
1702,53081,35990
1718,84559,374
1719,102222,4870
1720,110534,19798
1721,91904,14602
1730,107033,12547
1731,77369,2914
1740,125741,4125
1741,155000,4798
1742,119902,17075
1745,114761,331
1746,101901,13866
1747,97227,5815
1748,121182,13318
1749,76500,18081
1752,71835,36273
1754,76228,10414
1756,102625,5257
1757,68565,26877
1760,90673,31763
1770,145250,4245
1772,141459,8435
1773,143771,5143
1775,117440,5902
1776,152789,16826
1778,140652,13191
1801,71805,37213
1803,90659,22954
1810,113874,31228
1821,87745,29306
1824,99032,25234
1826,71731,28728
1827,113594,2847
1830,63388,24320
1832,57959,21246
1833,97895,7356
1834,84232,6027
1835,76253,13426
1840,18507,4350
1841,34128,44474
1843,42587,23184
1844,66023,43770
1845,99505,27203
1850,54087,15688
1851,51795,29549
1852,55089,32848
1854,44616,26785
1860,75517,6145
1862,86304,10097
1863,77458,8558
1864,97574,13849
1867,103358,23657
1876,83976,28599
1879,92239,11092
1880,89830,24610
1886,123906,20811
1887,97107,21279
1890,128546,20806
1901,18257,1630
1902,38107,45617
1904,69263,17916
1905,42449,23905
1906,69051,26160
1907,90516,14463
1913,73843,16447
1915,71363,39854
1921,143045,7903
1922,91052,3041
1923,76695,25239
1929,76989,3272
1930,63047,30261
1938,82395,12981
1940,90677,11926
1944,105000,5234
1945,95942,20370
1949,87728,7748
1950,76313,17249
1951,91052,3622
1952,62924,7819
1960,67119,47991
1966,73676,7762
1969,74911,5504
1970,57313,40268
1982,97491,8299
1983,115015,6132
1984,132697,4451
1985,111739,4160
2019,77420,15248
2021,88829,20755
2025,114214,7255
2026,85131,23478
2030,164583,5561
2032,77708,3576
2035,94994,16163
2038,92042,29553
2043,99910,19867
2045,70039,11047
2047,75170,247
2048,93593,22393
2050,85395,24577
2052,123176,12254
2053,100950,12503
2054,85472,7892
2056,111767,10608
2061,106730,9785
2062,72935,28563
2066,92394,17349
2067,117828,17425
2071,91781,956
2072,69340,27342
2081,92954,18430
2090,116083,14150
2093,94524,10446
2108,96033,3324
2109,92310,3278
2110,102972,1606
2111,31442,4948
2113,60386,6453
2114,69809,11170
2115,30282,25637
2116,80153,19480
2118,51368,22527
2119,36316,23537
2120,28794,11553
2121,28897,24772
2122,45859,24385
2124,43598,51236
2125,44266,32937
2126,51733,27685
2127,64285,29457
2128,42613,38185
2129,80223,15195
2130,69576,34961
2131,62945,30491
2132,76802,25943
2134,33863,19641
2135,52714,41833
2136,54410,26418
2138,68127,34994
2139,62821,35273
2140,65283,17158
2141,57909,12010
2142,61141,1823
2143,64966,24864
2144,68004,24248
2145,50718,26833
2148,55890,56273
2149,49696,38109
2150,40344,34956
2151,51723,47323
2152,68218,18303
2155,69803,57291
2163,23429,929
2169,56647,52278
2170,64309,19203
2171,66808,16610
2176,85681,27173
2180,78103,22116
2184,77129,33731
2186,98712,26112
2188,65251,13828
2189,62491,14455
2190,74205,16780
2191,68143,8916
2199,68080,1004
2203,106602,1
2210,61807,413
2215,30726,21896
2301,48470,61459
2302,62408,32523
2322,67313,4483
2324,80879,22922
2330,70048,11169
2332,116904,14241
2333,82133,13012
2339,104787,13171
2341,81912,9550
2343,62560,10705
2346,72466,19926
2347,94495,9810
2351,75850,14614
2356,99682,12966
2357,101136,323
2359,83622,16907
2360,74603,51563
2364,78923,11805
2366,89632,126
2367,87917,2622
2368,65118,30999
2370,62855,17665
2375,78410,9034
2379,73651,6610
2382,77027,13867
2420,139453,14109
2421,126827,16360
2445,105027,21282
2446,67338,24351
2451,78675,17553
2452,67088,12642
2453,59067,29043
2457,179792,551
2458,90740,12603
2459,128598,18940
2460,107495,8772
2461,110373,6599
2462,134119,1679
2464,81143,2958
2465,110531,11789
2466,115116,7010
2467,130044,15408
2468,166454,5429
2472,74968,32913
2474,82845,25806
2476,83975,16533
2478,95269,24296
2481,173681,14503
2482,123003,11569
2492,118211,20064
2493,147946,11526
2494,104492,8885
2532,60257,11275
2534,60788,865
2535,68906,1182
2536,61733,19684
2537,86643,5732
2538,54545,3528
2539,67625,3771
2540,58667,8794
2542,39803,1588
2543,82355,845
2553,70197,249
2554,61502,6889
2556,67750,3352
2557,59156,3684
